Pilote,Rang,Points,ABUR,AUSR,AZER,BAHR,BELR,BELS,CANR,CHIR,CHIS,EMIR,GRER,HUNR,ITAR,JAPR,LASR,MEXR,MIAR,MIAS,MONR,NETR,QATR,QATS,SAOR,SAOS,SAUR,SINR,SPAR,UNIR,UNIS
Oscar Piastri,1,504,15,15,,25,18,25,15,25,15,25,18,18,15,15,10,4,12,18,15,25,25,25,12,15,18,15,25,8,15
Lando Norris,2,502,18,25,6,8,25,15,6,15,8,12,15,15,18,18,25,25,18,15,25,18,18,15,25,25,,10,18,18,18
Max Verstappen,3,481,25,6,25,6,12,18,18,12,18,18,25,4,25,25,18,10,25,12,10,15,15,8,,8,25,18,15,25,25
George Russell,4,358,12,10,10,18,8,,25,18,10,15,12,12,8,10,12,12,10,10,,10,12,18,8,12,15,25,12,12,10
Charles Leclerc,5,277,10,18,,15,15,12,4,8,12,,8,25,12,12,2,18,4,8,18,8,1,2,15,4,12,6,6,15,1
Kimi Antonelli,6,204,,2,12,12,,,12,4,6,,6,,6,8,,8,15,25,,,10,6,18,18,10,12,8,6,
Lewis Hamilton,7,164,,12,,2,,,10,10,25,,10,,10,4,,15,,6,12,6,,,,,6,8,10,10,4
Carlos Sainz Jr.,8,96,,1,18,4,,8,,,,8,,,,,15,6,8,,,2,6,4,,,8,,,2,6
Fernando Alonso,9,91,8,,,,,,8,,,10,2,10,2,,6,,,1,6,1,4,12,,10,,1,1,1,8
Isack Hadjar,10,83,2,,4,,4,2,2,6,,2,,1,,6,4,2,,2,8,12,8,,10,2,,4,2,,
Yuki Tsunoda,11,47,,10,8,1,6,,,2,4,,,,1,,,,1,,,,,10,,,4,,,,
Liam Lawson,12,47,,8,15,,2,,,,,,,2,,,8,,,,2,4,,,6,,,,,,
Alexander Albon,13,44,,8,,,10,,1,1,2,6,,,,2,,,6,4,1,,,1,,,,,,,2
Pierre Gasly,14,30,,1,,10,,4,,,,1,1,,,,1,,,,,,2,,2,,2,,4,,
Oliver Bearman,15,22,,,,,,6,,,,,4,,,1,,1,,,,,,,4,,,2,,4,
Gabriel Bortoleto,16,22,6,4,,,1,1,,,,,,6,4,,,,,,,,,,,,,,,,
Esteban Ocon,17,20,4,,,,,10,,,,,,,,,,,2,,4,,,,,,,,,,
Lance Stroll,18,19,,,,,,,,,1,4,,8,,,,,,,,,,,,6,,,,,
Nico Hülkenberg,19,14,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,12
