Pilote,Rang,Points,ABUR,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,GERR,GRER,HUNR,ITAR,JAPR,KORR,MALR,MONR,SINR,SPAR,TURR
Sebastian Vettel,1,384,25,25,25,12,18,15,25,25,25,25,25,8,25,25,15,15,18,18,15
Mark Webber,2,336,10,18,8,25,15,18,18,18,12,18,18,12,18,18,25,25,10,25,25
Lewis Hamilton,3,233,18,,12,18,12,25,8,15,8,12,10,10,15,12,,10,15,15,18
Fernando Alonso,4,230,15,15,15,1,10,12,15,12,18,15,15,25,10,15,,,25,12,
Jenson Button,5,144,12,12,4,10,,10,10,6,10,,,18,8,6,,4,12,10,12
Felipe Massa,6,142,8,10,18,8,2,6,6,10,15,6,12,15,,8,,12,,2,4
Nico Rosberg,7,119,2,8,10,,,1,12,,2,10,8,6,6,10,18,8,6,4,8
Robert Kubica,8,119,,2,2,15,6,4,4,8,6,8,4,2,12,4,8,18,4,6,6
Michael Schumacher,9,56,4,6,6,,4,,2,,,1,,,1,2,4,6,2,8,10
Rubens Barrichello,10,56,6,4,,6,8,,,2,4,4,,1,4,1,6,2,8,,
Nico Hülkenberg,11,49,,,,2,25,,,4,1,,1,4,2,,10,,,,
Adrian Sutil,12,21,,1,1,4,,2,1,,,,,,,,12,,,,
Vitaly Petrov,13,11,1,,,,1,,,1,,,6,,,,,,,,2
Vitantonio Liuzzi,14,10,,,,,,8,,,,,,,,,1,1,,,
Kamui Kobayashi,15,5,,,,,,,,,,,,,,,2,,1,1,1
Pedro de la Rosa,16,4,,,,,,,,,,2,2,,,,,,,,
